City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,arnedo,42.2167,-2.1,8.72,71,100,2.64,ES,1713995485
320,iwanai,42.9744,140.5089,10.58,90,89,4.39,JP,1713995485
321,takahagi,36.7167,140.7167,15.66,100,78,0.99,JP,1713995485
322,kirakira,-10.4544,161.9205,28.93,80,87,1.14,SB,1713995485
323,sola,-13.8833,167.55,28.37,79,20,0.0,VU,1713995485
324,nadi,-17.8,177.4167,29.0,74,20,1.03,FJ,1713995485
325,porto velho,-8.7619,-63.9039,26.03,89,75,1.03,BR,1713995233
326,hithadhoo,-0.6,73.0833,28.05,80,100,3.09,MV,1713995493
327,rio grande,-32.035,-52.0986,18.06,67,29,4.7,BR,1713995404
328,katsuura,35.1333,140.3,16.01,86,89,1.31,JP,1713995493
329,coyhaique,-45.5752,-72.0662,9.34,81,75,2.06,CL,1713994961
330,agadez,19.75,10.25,30.77,12,5,2.26,NE,1713995494
331,mehran,33.1222,46.1646,26.46,30,0,3.06,IR,1713995495
332,toliara,-23.35,43.6667,21.87,86,0,3.92,MG,1713995498
333,ghat,24.9647,10.1728,25.05,21,0,5.53,LY,1713995501
334,la palma,33.8464,-118.0467,22.65,61,20,6.69,US,1713995501
335,ardestan,33.3761,52.3694,12.59,78,100,1.42,IR,1713995501
336,chinde,26.8418,88.0763,18.74,23,0,2.82,NP,1713995501
337,kargasok,59.0556,80.8572,-3.35,73,98,6.26,RU,1713995502
338,vilhena,-12.7406,-60.1458,28.12,78,75,2.57,BR,1713995505
339,bucerias,20.75,-105.3333,30.23,43,34,2.99,MX,1713995501
340,marmande,44.5,0.1667,10.17,95,87,2.63,FR,1713995505
341,miranda,3.2499,-76.2281,30.07,83,89,0.75,CO,1713995505
342,arraial do cabo,-22.9661,-42.0278,25.92,83,0,1.03,BR,1713995295
343,phan thiet,10.9333,108.1,25.58,91,69,2.27,VN,1713995506
344,puerto aysen,-45.4,-72.7,7.27,99,100,1.12,CL,1713995506
345,novodvinsk,64.4165,40.8122,0.99,100,100,1.74,RU,1713995506
346,kaoma,-14.7833,24.8,16.32,40,2,2.86,ZM,1713995506
347,la gi,10.6667,107.7833,26.66,84,89,2.62,VN,1713995507
348,guararema,-23.415,-46.035,27.08,78,100,1.85,BR,1713995514
349,arteche,12.2645,125.4048,25.21,81,100,2.01,PH,1713995515
350,mount gambier,-37.8333,140.7667,12.03,81,56,2.57,AU,1713995515
351,belyy yar,53.6039,91.3903,-6.06,58,0,4.0,RU,1713995515
352,kirensk,57.7853,108.1119,-1.13,96,94,2.24,RU,1713995515
353,nzega,-2.479,29.5564,14.64,93,100,1.53,RW,1713995516
354,okhotsk,59.3833,143.3,-1.1,94,100,3.05,RU,1713995516
355,ghanzi,-21.5667,21.7833,20.84,22,0,2.9,BW,1713995517
356,malvan,16.0667,73.4667,27.58,79,30,4.49,IN,1713995517
357,franceville,-1.6333,13.5836,22.73,97,86,1.23,GA,1713995517
358,aywaille,50.4741,5.6768,4.83,97,94,2.05,BE,1713995518
359,port lincoln,-34.7333,135.8667,14.07,75,54,2.34,AU,1713995518
360,turpan,42.9333,89.1667,24.62,20,100,2.64,CN,1713995518
361,newman,37.3138,-121.0208,19.02,58,100,3.13,US,1713995520
362,chonchi,-42.6128,-73.8092,11.56,90,89,3.48,CL,1713995520
363,rabo de peixe,37.8,-25.5833,15.73,72,40,5.66,PT,1713995524
